State_Name,Crop_Year,Crop,Area,Production,Yield,ANNUAL,Jun-Sep
ARUNACHAL PRADESH,1997,Groundnut,905.0,802.0,0.8861878453038674,2274.9,1583.7
ARUNACHAL PRADESH,1997,Maize,34504.0,50025.0,1.4498319035474148,2274.9,1583.7
ARUNACHAL PRADESH,1997,Oilseeds total,26118.0,24290.0,0.9300099548204304,2274.9,1583.7
ARUNACHAL PRADESH,1997,Rapeseed &Mustard,20500.0,19100.0,0.9317073170731708,2274.9,1583.7
ARUNACHAL PRADESH,1997,Rice,120020.0,129505.0,1.0790284952507916,2274.9,1583.7
ARUNACHAL PRADESH,1997,Sesamum,1345.0,818.0,0.6081784386617101,2274.9,1583.7
ARUNACHAL PRADESH,1997,Small millets,18467.0,18032.0,0.9764444685113988,2274.9,1583.7
ARUNACHAL PRADESH,1997,Soyabean,2345.0,3075.0,1.3113006396588487,2274.9,1583.7
ARUNACHAL PRADESH,1997,Sugarcane,681.0,15806.0,23.20998531571219,2274.9,1583.7
ARUNACHAL PRADESH,1997,Sunflower,448.0,220.0,0.49107142857142855,2274.9,1583.7
ARUNACHAL PRADESH,1997,Wheat,3785.0,5475.0,1.4464993394980186,2274.9,1583.7
ARUNACHAL PRADESH,1998,Dry chillies,1236.0,1582.0,1.279935275080906,3616.7,2707.4
ARUNACHAL PRADESH,1998,Dry ginger,4385.0,31091.0,7.090307867730901,3616.7,2707.4
ARUNACHAL PRADESH,1998,Groundnut,500.0,400.0,0.8,3616.7,2707.4
ARUNACHAL PRADESH,1998,Maize,36244.0,47022.0,1.2973733583489682,3616.7,2707.4
ARUNACHAL PRADESH,1998,Oilseeds total,26481.0,25300.0,0.9554019863298214,3616.7,2707.4
ARUNACHAL PRADESH,1998,Potato,4846.0,31567.0,6.514032191498143,3616.7,2707.4
ARUNACHAL PRADESH,1998,Rapeseed &Mustard,20631.0,19630.0,0.9514807813484563,3616.7,2707.4
ARUNACHAL PRADESH,1998,Rice,115481.0,114116.0,0.9881798737454647,3616.7,2707.4
ARUNACHAL PRADESH,1998,Sesamum,1360.0,750.0,0.5514705882352942,3616.7,2707.4
ARUNACHAL PRADESH,1998,Small millets,17976.0,15601.0,0.8678793947485536,3616.7,2707.4
ARUNACHAL PRADESH,1998,Soyabean,2720.0,3390.0,1.2463235294117647,3616.7,2707.4
ARUNACHAL PRADESH,1998,Sugarcane,743.0,15032.0,20.231493943472408,3616.7,2707.4
ARUNACHAL PRADESH,1998,Sunflower,435.0,205.0,0.47126436781609193,3616.7,2707.4
ARUNACHAL PRADESH,1998,Turmeric,366.0,1199.0,3.2759562841530054,3616.7,2707.4
ARUNACHAL PRADESH,1998,Wheat,3660.0,4395.0,1.2008196721311475,3616.7,2707.4
ARUNACHAL PRADESH,1999,Dry chillies,1499.0,1696.0,1.1314209472981989,2316.6,1519.0
ARUNACHAL PRADESH,1999,Dry ginger,4399.0,34890.0,7.93134803364401,2316.6,1519.0
ARUNACHAL PRADESH,1999,Maize,35637.0,48328.0,1.3561186407385581,2316.6,1519.0
ARUNACHAL PRADESH,1999,Oilseeds total,27748.0,27228.0,0.9812599106241892,2316.6,1519.0
ARUNACHAL PRADESH,1999,Potato,4960.0,32434.0,6.539112903225806,2316.6,1519.0
ARUNACHAL PRADESH,1999,Pulses total,6554.0,6634.0,1.0122062862374124,2316.6,1519.0
ARUNACHAL PRADESH,1999,Rice,122740.0,134807.0,1.0983135082287763,2316.6,1519.0
ARUNACHAL PRADESH,1999,Small millets,19800.0,17123.0,0.8647979797979798,2316.6,1519.0
ARUNACHAL PRADESH,1999,Sugarcane,809.0,16219.0,20.04820766378245,2316.6,1519.0
ARUNACHAL PRADESH,1999,Turmeric,404.0,1473.0,3.646039603960396,2316.6,1519.0
ARUNACHAL PRADESH,1999,Wheat,3896.0,5069.0,1.3010780287474333,2316.6,1519.0
ARUNACHAL PRADESH,2000,Dry chillies,1317.0,2097.0,1.5922551252847381,2596.8,1650.0
ARUNACHAL PRADESH,2000,Dry ginger,4774.0,35295.0,7.393171344784248,2596.8,1650.0
ARUNACHAL PRADESH,2000,Maize,38429.0,52297.0,1.3608732988107939,2596.8,1650.0
ARUNACHAL PRADESH,2000,Oilseeds total,26301.0,27252.0,1.0361583209763887,2596.8,1650.0
ARUNACHAL PRADESH,2000,Potato,5621.0,36743.0,6.536737235367372,2596.8,1650.0
ARUNACHAL PRADESH,2000,Pulses total,6202.0,6780.0,1.0931957433086101,2596.8,1650.0
ARUNACHAL PRADESH,2000,Rice,118601.0,132690.0,1.1187932648122698,2596.8,1650.0
ARUNACHAL PRADESH,2000,Small millets,20149.0,17332.0,0.8601915727827684,2596.8,1650.0
ARUNACHAL PRADESH,2000,Sugarcane,811.0,14358.0,17.70406905055487,2596.8,1650.0
ARUNACHAL PRADESH,2000,Turmeric,454.0,1872.0,4.1233480176211454,2596.8,1650.0
ARUNACHAL PRADESH,2000,Wheat,4397.0,6226.0,1.4159654309756653,2596.8,1650.0
ARUNACHAL PRADESH,2001,Dry chillies,1629.0,2128.0,1.3063228974831185,2036.0,1147.8
ARUNACHAL PRADESH,2001,Dry ginger,4613.0,38021.0,8.242141773249513,2036.0,1147.8
ARUNACHAL PRADESH,2001,Maize,38577.0,52511.0,1.361199678564948,2036.0,1147.8
ARUNACHAL PRADESH,2001,Oilseeds total,27560.0,29307.0,1.063388969521045,2036.0,1147.8
ARUNACHAL PRADESH,2001,Potato,4646.0,32635.0,7.024321997417133,2036.0,1147.8
ARUNACHAL PRADESH,2001,Pulses total,6766.0,7126.0,1.0532072125332546,2036.0,1147.8
ARUNACHAL PRADESH,2001,Rice,119455.0,134621.0,1.126959943074798,2036.0,1147.8
ARUNACHAL PRADESH,2001,Small millets,19740.0,17851.0,0.904305977710233,2036.0,1147.8
ARUNACHAL PRADESH,2001,Sugarcane,1036.0,18920.0,18.26254826254826,2036.0,1147.8
ARUNACHAL PRADESH,2001,Turmeric,573.0,2094.0,3.654450261780105,2036.0,1147.8
ARUNACHAL PRADESH,2001,Wheat,3805.0,5341.0,1.4036793692509855,2036.0,1147.8
ARUNACHAL PRADESH,2002,Dry chillies,1608.0,2345.0,1.4583333333333333,2389.2,1549.4
ARUNACHAL PRADESH,2002,Dry ginger,4448.0,32332.0,7.268884892086331,2389.2,1549.4
ARUNACHAL PRADESH,2002,Maize,40548.0,55941.0,1.3796241491565553,2389.2,1549.4
ARUNACHAL PRADESH,2002,Oilseeds total,28494.0,29821.0,1.0465712079736085,2389.2,1549.4
ARUNACHAL PRADESH,2002,Potato,4335.0,30183.0,6.962629757785467,2389.2,1549.4
ARUNACHAL PRADESH,2002,Pulses total,6801.0,7239.0,1.0644022937803264,2389.2,1549.4
ARUNACHAL PRADESH,2002,Rice,124584.0,152500.0,1.2240737173312786,2389.2,1549.4
ARUNACHAL PRADESH,2002,Small millets,21110.0,18811.0,0.8910942681193748,2389.2,1549.4
ARUNACHAL PRADESH,2002,Sugarcane,798.0,15284.0,19.152882205513784,2389.2,1549.4
ARUNACHAL PRADESH,2002,Turmeric,508.0,2020.0,3.9763779527559056,2389.2,1549.4
ARUNACHAL PRADESH,2002,Wheat,4114.0,6250.0,1.5192027224112785,2389.2,1549.4
ARUNACHAL PRADESH,2003,Dry chillies,1657.0,2430.0,1.4665057332528666,2451.8,1656.6
ARUNACHAL PRADESH,2003,Dry ginger,4680.0,37177.0,7.943803418803419,2451.8,1656.6
ARUNACHAL PRADESH,2003,Maize,38605.0,54510.0,1.4119932651210982,2451.8,1656.6
ARUNACHAL PRADESH,2003,Oilseeds total,28024.0,28478.0,1.0162003996574365,2451.8,1656.6
ARUNACHAL PRADESH,2003,Potato,4022.0,29569.0,7.3518150174042765,2451.8,1656.6
ARUNACHAL PRADESH,2003,Pulses total,7129.0,7719.0,1.0827605554776265,2451.8,1656.6
ARUNACHAL PRADESH,2003,Rice,119205.0,154589.0,1.2968331865274108,2451.8,1656.6
ARUNACHAL PRADESH,2003,Small millets,22279.0,21326.0,0.9572242919341084,2451.8,1656.6
ARUNACHAL PRADESH,2003,Sugarcane,738.0,15150.0,20.528455284552845,2451.8,1656.6
ARUNACHAL PRADESH,2003,Turmeric,447.0,1527.0,3.4161073825503356,2451.8,1656.6
ARUNACHAL PRADESH,2003,Wheat,4150.0,6320.0,1.5228915662650602,2451.8,1656.6
ARUNACHAL PRADESH,2004,Dry chillies,2012.0,2640.0,1.312127236580517,2545.7,1578.7
ARUNACHAL PRADESH,2004,Dry ginger,4451.0,32877.0,7.386430015726803,2545.7,1578.7
ARUNACHAL PRADESH,2004,Maize,37800.0,54985.0,1.4546296296296297,2545.7,1578.7
ARUNACHAL PRADESH,2004,Oilseeds total,27139.0,26281.0,0.9683849810236191,2545.7,1578.7
ARUNACHAL PRADESH,2004,Potato,4217.0,27518.0,6.525492055963955,2545.7,1578.7
ARUNACHAL PRADESH,2004,Rice,121642.0,134950.0,1.1094030022525114,2545.7,1578.7
ARUNACHAL PRADESH,2004,Small millets,22400.0,21374.0,0.9541964285714286,2545.7,1578.7
ARUNACHAL PRADESH,2004,Sugarcane,736.0,14132.0,19.20108695652174,2545.7,1578.7
ARUNACHAL PRADESH,2004,Turmeric,505.0,1794.0,3.5524752475247525,2545.7,1578.7
ARUNACHAL PRADESH,2004,Wheat,4278.0,6652.0,1.554932211313698,2545.7,1578.7
ARUNACHAL PRADESH,2005,Dry chillies,2168.0,2646.0,1.220479704797048,2335.5,1343.7
ARUNACHAL PRADESH,2005,Dry ginger,4814.0,33326.0,6.922725384295804,2335.5,1343.7
ARUNACHAL PRADESH,2005,Maize,41853.0,57898.0,1.3833655890856091,2335.5,1343.7
ARUNACHAL PRADESH,2005,Oilseeds total,27566.0,23695.0,0.8595733875063484,2335.5,1343.7
ARUNACHAL PRADESH,2005,Potato,3963.0,29838.0,7.529144587433763,2335.5,1343.7
ARUNACHAL PRADESH,2005,Rice,122267.0,146191.0,1.1956701317608185,2335.5,1343.7
ARUNACHAL PRADESH,2005,Small millets,22802.0,22376.0,0.9813174282957635,2335.5,1343.7
ARUNACHAL PRADESH,2005,Sugarcane,878.0,16181.0,18.429384965831435,2335.5,1343.7
ARUNACHAL PRADESH,2005,Turmeric,427.0,1631.0,3.819672131147541,2335.5,1343.7
ARUNACHAL PRADESH,2005,Wheat,3976.0,6140.0,1.5442655935613683,2335.5,1343.7
ARUNACHAL PRADESH,2006,Dry chillies,1903.0,2729.0,1.4340514976353127,2259.6,1393.5
ARUNACHAL PRADESH,2006,Dry ginger,5832.0,42821.0,7.342421124828532,2259.6,1393.5
ARUNACHAL PRADESH,2006,Maize,46281.0,63524.0,1.3725718977550183,2259.6,1393.5
ARUNACHAL PRADESH,2006,Oilseeds total,32160.0,29265.0,0.909981343283582,2259.6,1393.5
ARUNACHAL PRADESH,2006,Potato,3985.0,31689.0,7.95207026348808,2259.6,1393.5
ARUNACHAL PRADESH,2006,Rice,123038.0,144635.0,1.1755311367219883,2259.6,1393.5
ARUNACHAL PRADESH,2006,Small millets,21708.0,21428.0,0.9871015293900866,2259.6,1393.5
ARUNACHAL PRADESH,2006,Sugarcane,1030.0,16843.0,16.35242718446602,2259.6,1393.5
ARUNACHAL PRADESH,2006,Turmeric,532.0,1965.0,3.693609022556391,2259.6,1393.5
ARUNACHAL PRADESH,2006,Wheat,3979.0,6301.0,1.5835637094747423,2259.6,1393.5
ARUNACHAL PRADESH,2007,Dry chillies,2372.0,3634.0,1.5320404721753795,3020.7,2185.1
ARUNACHAL PRADESH,2007,Dry ginger,6305.0,47407.0,7.518953211736717,3020.7,2185.1
ARUNACHAL PRADESH,2007,Maize,42736.0,57430.0,1.343831898165481,3020.7,2185.1
ARUNACHAL PRADESH,2007,Oilseeds total,30749.0,28568.0,0.9290708640931412,3020.7,2185.1
ARUNACHAL PRADESH,2007,Potato,3843.0,29173.0,7.5912047879261,3020.7,2185.1
ARUNACHAL PRADESH,2007,Rice,124029.0,158146.0,1.2750727652403873,3020.7,2185.1
ARUNACHAL PRADESH,2007,Small millets,22308.0,19425.0,0.8707638515330823,3020.7,2185.1
ARUNACHAL PRADESH,2007,Sugarcane,1233.0,21754.0,17.643146796431466,3020.7,2185.1
ARUNACHAL PRADESH,2007,Turmeric,549.0,2119.0,3.859744990892532,3020.7,2185.1
ARUNACHAL PRADESH,2007,Wheat,3558.0,5294.0,1.4879145587408658,3020.7,2185.1
ARUNACHAL PRADESH,2008,Dry chillies,2320.0,3960.0,1.706896551724138,2244.4,1508.7
ARUNACHAL PRADESH,2008,Dry ginger,6356.0,47190.0,7.424480805538074,2244.4,1508.7
ARUNACHAL PRADESH,2008,Maize,42897.0,58830.0,1.371424575145115,2244.4,1508.7
ARUNACHAL PRADESH,2008,Oilseeds total,31785.0,31016.0,0.9758061978920874,2244.4,1508.7
ARUNACHAL PRADESH,2008,Potato,4063.0,33405.0,8.221757322175732,2244.4,1508.7
ARUNACHAL PRADESH,2008,Rice,126799.0,164538.0,1.2976285301934558,2244.4,1508.7
ARUNACHAL PRADESH,2008,Small millets,22262.0,18922.0,0.8499685562842512,2244.4,1508.7
ARUNACHAL PRADESH,2008,Sugarcane,1370.0,23439.0,17.10875912408759,2244.4,1508.7
ARUNACHAL PRADESH,2008,Turmeric,612.0,2375.0,3.880718954248366,2244.4,1508.7
ARUNACHAL PRADESH,2008,Wheat,3278.0,5169.0,1.576876143990238,2244.4,1508.7
ARUNACHAL PRADESH,2009,Dry chillies,2086.0,3499.0,1.677372962607862,1749.9,1111.8
ARUNACHAL PRADESH,2009,Dry ginger,6401.0,49663.0,7.758631463833776,1749.9,1111.8
ARUNACHAL PRADESH,2009,Maize,43630.0,60144.0,1.3785010314004125,1749.9,1111.8
ARUNACHAL PRADESH,2009,Oilseeds total,121468.0,215842.0,1.7769453683274608,1749.9,1111.8
ARUNACHAL PRADESH,2009,Potato,4235.0,36449.0,8.606611570247933,1749.9,1111.8
ARUNACHAL PRADESH,2009,Rice,121468.0,143894.6,1.1846296967102448,1749.9,1111.8
ARUNACHAL PRADESH,2009,Small millets,21373.0,18391.0,0.8604781733963411,1749.9,1111.8
ARUNACHAL PRADESH,2009,Sugarcane,1476.0,27145.0,18.39092140921409,1749.9,1111.8
ARUNACHAL PRADESH,2009,Turmeric,626.0,2556.0,4.083067092651757,1749.9,1111.8
ARUNACHAL PRADESH,2009,Wheat,3170.0,4770.0,1.5047318611987381,1749.9,1111.8
ARUNACHAL PRADESH,2010,Dry chillies,2221.0,3648.0,1.6425033768572714,2855.7,1653.6
ARUNACHAL PRADESH,2010,Dry ginger,6601.0,52304.0,7.923647932131495,2855.7,1653.6
ARUNACHAL PRADESH,2010,Maize,45061.0,64714.0,1.436142118461641,2855.7,1653.6
ARUNACHAL PRADESH,2010,Oilseeds total,31854.0,29251.0,0.9182834180950588,2855.7,1653.6
